passport_label|connected_gen_vectors
text|jsonb

6.2-1.0.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1|['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
6.3-1.0.3.3.3.3.3.3.3.3.1|['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a^2']
6.3-1.0.3.3.3.3.3.3.3.3.2|['a', 'a', 'a', 'a', 'a^2', 'a^2', 'a^2', 'a^2']
6.3-1.0.3.3.3.3.3.3.3.3.3|['a', 'a^2', 'a^2', 'a^2', 'a^2', 'a^2', 'a^2', 'a^2']
6.4-1.0.4.4.4.4.4.4.1|['a', 'a', 'a', 'a', 'a', 'a^-1']
6.4-1.0.4.4.4.4.4.4.2|['a', 'a', 'a', 'a^-1', 'a^-1', 'a^-1']
6.4-1.0.4.4.4.4.4.4.3|['a', 'a^-1', 'a^-1', 'a^-1', 'a^-1', 'a^-1']
6.4-1.0.2.2.2.4.4.4.4.1|['a^-2', 'a^-2', 'a^-2', 'a', 'a', 'a', 'a^-1']
6.4-1.0.2.2.2.4.4.4.4.2|['a^-2', 'a^-2', 'a^-2', 'a', 'a^-1', 'a^-1', 'a^-1']
6.4-1.0.2.2.2.2.2.2.4.4.1|['a^-2', 'a^-2', 'a^-2', 'a^-2', 'a^-2', 'a^-2', 'a', 'a^-1']
6.4-2.0.2.2.2.2.2.2.2.2.2.1|['b', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.2|['b', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.3|['b', 'b', 'b', 'b', 'b', 'a', 'ba', 'ba', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.4|['b', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.5|['b', 'b', 'b', 'a', 'a', 'a', 'ba', 'ba', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.6|['b', 'b', 'b', 'a', 'ba', 'ba', 'ba', 'ba', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.7|['b', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.8|['b', 'a', 'a', 'a', 'a', 'a', 'ba', 'ba', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.9|['b', 'a', 'a', 'a', 'ba', 'ba', 'ba', 'ba', 'ba']
6.4-2.0.2.2.2.2.2.2.2.2.2.10|['b', 'a', 'ba', 'ba', 'ba', 'ba', 'ba', 'ba', 'ba']
6.5-1.0.5.5.5.5.5.1|['a', 'a', 'a', 'a', 'a']
6.5-1.0.5.5.5.5.5.2|['a', 'a', 'a', 'a^3', 'a^4']
6.5-1.0.5.5.5.5.5.3|['a', 'a', 'a^2', 'a^2', 'a^4']
6.5-1.0.5.5.5.5.5.4|['a', 'a', 'a^2', 'a^3', 'a^3']
6.5-1.0.5.5.5.5.5.5|['a', 'a^2', 'a^2', 'a^2', 'a^3']
6.5-1.0.5.5.5.5.5.6|['a', 'a^2', 'a^4', 'a^4', 'a^4']
6.5-1.0.5.5.5.5.5.7|['a', 'a^3', 'a^3', 'a^4', 'a^4']
6.5-1.0.5.5.5.5.5.8|['a^2', 'a^2', 'a^2', 'a^2', 'a^2']
6.5-1.0.5.5.5.5.5.9|['a^2', 'a^2', 'a^3', 'a^4', 'a^4']
6.5-1.0.5.5.5.5.5.10|['a^2', 'a^3', 'a^3', 'a^3', 'a^4']
6.5-1.0.5.5.5.5.5.11|['a^3', 'a^3', 'a^3', 'a^3', 'a^3']
6.5-1.0.5.5.5.5.5.12|['a^4', 'a^4', 'a^4', 'a^4', 'a^4']
6.6-2.0.3.3.3.6.6.1|['a^4', 'a^4', 'a^4', 'a', 'a^5']
6.6-2.0.3.3.3.6.6.2|['a^4', 'a^4', 'a^2', 'a', 'a']
6.6-2.0.3.3.3.6.6.3|['a^4', 'a^2', 'a^2', 'a^5', 'a^5']
6.6-2.0.3.3.3.6.6.4|['a^2', 'a^2', 'a^2', 'a', 'a^5']
6.6-2.0.2.3.6.6.6.1|['a^3', 'a^4', 'a', 'a^5', 'a^5']
6.6-2.0.2.3.6.6.6.2|['a^3', 'a^2', 'a', 'a', 'a^5']
6.6-1.0.2.2.3.3.3.3.1|['a', 'a', 'b^2', 'b^2', 'b', 'b']
6.6-1.0.2.2.3.3.3.3.2|['a', 'a', 'b^2', 'b', 'b^2', 'b']
6.6-1.0.2.2.3.3.3.3.3|['a', 'a', 'b^2', 'b', 'b', 'b^2']
6.6-1.0.2.2.3.3.3.3.4|['a', 'ba', 'b^2', 'b^2', 'b^2', 'b^2']
6.6-1.0.2.2.3.3.3.3.5|['a', 'ba', 'b^2', 'b', 'b', 'b']
6.6-1.0.2.2.3.3.3.3.6|['a', 'ba', 'b', 'b^2', 'b', 'b']
6.6-1.0.2.2.3.3.3.3.7|['a', 'ba', 'b', 'b', 'b^2', 'b']
