passport_label|connected_gen_vectors
6.6-1.0.2.2.3.3.3.3.8|['a', 'ba', 'b', 'b', 'b', 'b^2']
6.6-2.0.2.2.3.3.3.3.1|['a^3', 'a^3', 'a^4', 'a^4', 'a^2', 'a^2']
6.6-2.0.2.2.2.3.3.6.1|['a^3', 'a^3', 'a^3', 'a^4', 'a^4', 'a']
6.6-2.0.2.2.2.3.3.6.2|['a^3', 'a^3', 'a^3', 'a^2', 'a^2', 'a^5']
6.6-2.0.2.2.2.2.6.6.1|['a^3', 'a^3', 'a^3', 'a^3', 'a', 'a^5']
6.6-1.0.2.2.2.2.2.2.3.1|['a', 'a', 'a', 'a', 'a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.2|['a', 'a', 'a', 'a', 'ba', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.3|['a', 'a', 'a', 'a', 'ba', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.4|['a', 'a', 'a', 'ba', 'a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.5|['a', 'a', 'a', 'ba', 'a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.6|['a', 'a', 'a', 'ba', 'ba', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.7|['a', 'a', 'a', 'ba', 'ba', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.8|['a', 'a', 'a', 'ba', 'b^2a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.9|['a', 'a', 'a', 'ba', 'b^2a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.10|['a', 'a', 'ba', 'a', 'a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.11|['a', 'a', 'ba', 'a', 'a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.12|['a', 'a', 'ba', 'a', 'ba', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.13|['a', 'a', 'ba', 'a', 'ba', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.14|['a', 'a', 'ba', 'a', 'b^2a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.15|['a', 'a', 'ba', 'a', 'b^2a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.16|['a', 'a', 'ba', 'ba', 'a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.17|['a', 'a', 'ba', 'ba', 'a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.18|['a', 'a', 'ba', 'ba', 'ba', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.19|['a', 'a', 'ba', 'ba', 'ba', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.20|['a', 'a', 'ba', 'ba', 'b^2a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.21|['a', 'a', 'ba', 'ba', 'b^2a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.22|['a', 'a', 'ba', 'b^2a', 'a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.23|['a', 'a', 'ba', 'b^2a', 'a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.24|['a', 'a', 'ba', 'b^2a', 'ba', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.25|['a', 'a', 'ba', 'b^2a', 'ba', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.26|['a', 'a', 'ba', 'b^2a', 'b^2a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.27|['a', 'a', 'ba', 'b^2a', 'b^2a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.28|['a', 'ba', 'a', 'a', 'a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.29|['a', 'ba', 'a', 'a', 'a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.30|['a', 'ba', 'a', 'a', 'ba', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.31|['a', 'ba', 'a', 'a', 'ba', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.32|['a', 'ba', 'a', 'a', 'b^2a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.33|['a', 'ba', 'a', 'a', 'b^2a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.34|['a', 'ba', 'a', 'ba', 'a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.35|['a', 'ba', 'a', 'ba', 'a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.36|['a', 'ba', 'a', 'ba', 'ba', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.37|['a', 'ba', 'a', 'ba', 'ba', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.38|['a', 'ba', 'a', 'ba', 'b^2a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.39|['a', 'ba', 'a', 'ba', 'b^2a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.40|['a', 'ba', 'a', 'b^2a', 'a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.41|['a', 'ba', 'a', 'b^2a', 'a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.42|['a', 'ba', 'a', 'b^2a', 'ba', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.43|['a', 'ba', 'a', 'b^2a', 'ba', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.44|['a', 'ba', 'a', 'b^2a', 'b^2a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.45|['a', 'ba', 'a', 'b^2a', 'b^2a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.46|['a', 'ba', 'ba', 'a', 'a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.47|['a', 'ba', 'ba', 'a', 'a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.48|['a', 'ba', 'ba', 'a', 'ba', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.49|['a', 'ba', 'ba', 'a', 'ba', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.50|['a', 'ba', 'ba', 'a', 'b^2a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.51|['a', 'ba', 'ba', 'a', 'b^2a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.52|['a', 'ba', 'ba', 'ba', 'a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.53|['a', 'ba', 'ba', 'ba', 'a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.54|['a', 'ba', 'ba', 'ba', 'ba', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.55|['a', 'ba', 'ba', 'ba', 'ba', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.56|['a', 'ba', 'ba', 'ba', 'b^2a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.57|['a', 'ba', 'ba', 'ba', 'b^2a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.58|['a', 'ba', 'ba', 'b^2a', 'a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.59|['a', 'ba', 'ba', 'b^2a', 'a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.60|['a', 'ba', 'ba', 'b^2a', 'ba', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.61|['a', 'ba', 'ba', 'b^2a', 'ba', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.62|['a', 'ba', 'ba', 'b^2a', 'b^2a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.63|['a', 'ba', 'ba', 'b^2a', 'b^2a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.64|['a', 'ba', 'b^2a', 'a', 'a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.65|['a', 'ba', 'b^2a', 'a', 'a', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.66|['a', 'ba', 'b^2a', 'a', 'ba', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.67|['a', 'ba', 'b^2a', 'a', 'ba', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.68|['a', 'ba', 'b^2a', 'a', 'b^2a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.69|['a', 'ba', 'b^2a', 'a', 'b^2a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.70|['a', 'ba', 'b^2a', 'ba', 'a', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.71|['a', 'ba', 'b^2a', 'ba', 'a', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.72|['a', 'ba', 'b^2a', 'ba', 'ba', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.73|['a', 'ba', 'b^2a', 'ba', 'ba', 'b^2a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.74|['a', 'ba', 'b^2a', 'ba', 'b^2a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.75|['a', 'ba', 'b^2a', 'ba', 'b^2a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.76|['a', 'ba', 'b^2a', 'b^2a', 'a', 'a', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.77|['a', 'ba', 'b^2a', 'b^2a', 'a', 'ba', 'b']
6.6-1.0.2.2.2.2.2.2.3.78|['a', 'ba', 'b^2a', 'b^2a', 'ba', 'ba', 'b^2']
6.6-1.0.2.2.2.2.2.2.3.79|['a', 'ba', 'b^2a', 'b^2a', 'ba', 'b^2a', 'b']
6.6-1.0.2.2.2.2.2.2.3.80|['a', 'ba', 'b^2a', 'b^2a', 'b^2a', 'a', 'b']
6.6-1.0.2.2.2.2.2.2.3.81|['a', 'ba', 'b^2a', 'b^2a', 'b^2a', 'b^2a', 'b^2']
6.7-1.0.7.7.7.7.1|['a', 'a', 'a', 'a^4']
6.7-1.0.7.7.7.7.2|['a', 'a', 'a^2', 'a^3']
6.7-1.0.7.7.7.7.3|['a', 'a', 'a^6', 'a^6']
6.7-1.0.7.7.7.7.4|['a', 'a^2', 'a^2', 'a^2']
6.7-1.0.7.7.7.7.5|['a', 'a^2', 'a^5', 'a^6']
6.7-1.0.7.7.7.7.6|['a', 'a^3', 'a^4', 'a^6']
6.7-1.0.7.7.7.7.7|['a', 'a^3', 'a^5', 'a^5']
6.7-1.0.7.7.7.7.8|['a', 'a^4', 'a^4', 'a^5']
6.7-1.0.7.7.7.7.9|['a^2', 'a^2', 'a^4', 'a^6']
6.7-1.0.7.7.7.7.10|['a^2', 'a^2', 'a^5', 'a^5']
6.7-1.0.7.7.7.7.11|['a^2', 'a^3', 'a^3', 'a^6']
6.7-1.0.7.7.7.7.12|['a^2', 'a^3', 'a^4', 'a^5']
6.7-1.0.7.7.7.7.13|['a^2', 'a^4', 'a^4', 'a^4']
6.7-1.0.7.7.7.7.14|['a^3', 'a^3', 'a^3', 'a^5']
6.7-1.0.7.7.7.7.15|['a^3', 'a^3', 'a^4', 'a^4']
6.7-1.0.7.7.7.7.16|['a^3', 'a^6', 'a^6', 'a^6']
6.7-1.0.7.7.7.7.17|['a^4', 'a^5', 'a^6', 'a^6']
6.7-1.0.7.7.7.7.18|['a^5', 'a^5', 'a^5', 'a^6']
6.8-1.0.4.4.8.8.1|['a^2', 'a^2', 'a', 'a^3']
6.8-1.0.4.4.8.8.2|['a^2', 'a^2', 'a^-3', 'a^-1']
6.8-1.0.4.4.8.8.3|['a^2', 'a^-2', 'a', 'a^-1']
6.8-1.0.4.4.8.8.4|['a^2', 'a^-2', 'a^3', 'a^-3']
6.8-1.0.4.4.8.8.5|['a^-2', 'a^-2', 'a', 'a^3']
6.8-1.0.4.4.8.8.6|['a^-2', 'a^-2', 'a^-3', 'a^-1']
6.8-3.0.2.2.4.4.4.1|['a', 'b^-1a', 'b', 'b', 'b^-1']
6.8-3.0.2.2.4.4.4.2|['a', 'b^-1a', 'b', 'b^-1', 'b']
6.8-3.0.2.2.4.4.4.3|['a', 'b^-1a', 'b^-1', 'b', 'b']
6.8-3.0.2.2.4.4.4.4|['a', 'b^-1a', 'b^-1', 'b^-1', 'b^-1']
6.8-4.0.2.2.4.4.4.1|['a^-2', 'a^-2', 'b', 'a', 'ba']
6.8-1.0.2.2.2.8.8.1|['a^-4', 'a^-4', 'a^-4', 'a', 'a^3']
6.8-1.0.2.2.2.8.8.2|['a^-4', 'a^-4', 'a^-4', 'a^-3', 'a^-1']
6.8-3.0.2.2.2.2.2.4.1|['b^-2', 'b^-2', 'b^-2', 'a', 'b^-1a', 'b^-1']
6.8-3.0.2.2.2.2.2.4.2|['b^-2', 'a', 'a', 'a', 'b^-1a', 'b^-1']
6.8-3.0.2.2.2.2.2.4.3|['b^-2', 'a', 'a', 'b^-2a', 'b^-1a', 'b']
6.8-3.0.2.2.2.2.2.4.4|['b^-2', 'a', 'b^-2a', 'a', 'b^-1a', 'b']
6.8-3.0.2.2.2.2.2.4.5|['b^-2', 'a', 'b^-2a', 'b^-2a', 'b^-1a', 'b^-1']
6.8-3.0.2.2.2.2.2.4.6|['b^-2', 'a', 'b^-1a', 'b^-1a', 'b^-1a', 'b^-1']
6.8-3.0.2.2.2.2.2.4.7|['b^-2', 'a', 'b^-1a', 'b^-1a', 'ba', 'b']
6.8-3.0.2.2.2.2.2.4.8|['b^-2', 'a', 'b^-1a', 'ba', 'b^-1a', 'b']
6.8-3.0.2.2.2.2.2.4.9|['b^-2', 'a', 'b^-1a', 'ba', 'ba', 'b^-1']
6.9-1.0.3.3.9.9.1|['a^3', 'a^3', 'a', 'a^2']
6.9-1.0.3.3.9.9.2|['a^3', 'a^3', 'a^4', 'a^8']
6.9-1.0.3.3.9.9.3|['a^3', 'a^3', 'a^5', 'a^7']
6.9-1.0.3.3.9.9.4|['a^3', 'a^6', 'a', 'a^8']
6.9-1.0.3.3.9.9.5|['a^3', 'a^6', 'a^2', 'a^7']
6.9-1.0.3.3.9.9.6|['a^3', 'a^6', 'a^4', 'a^5']
6.9-1.0.3.3.9.9.7|['a^6', 'a^6', 'a', 'a^5']
6.9-1.0.3.3.9.9.8|['a^6', 'a^6', 'a^2', 'a^4']
6.9-1.0.3.3.9.9.9|['a^6', 'a^6', 'a^7', 'a^8']
6.10-2.0.2.5.5.10.1|['a^5', 'a^8', 'a^8', 'a^9']
6.10-2.0.2.5.5.10.2|['a^5', 'a^8', 'a^6', 'a']
6.10-2.0.2.5.5.10.3|['a^5', 'a^8', 'a^4', 'a^3']
6.10-2.0.2.5.5.10.4|['a^5', 'a^6', 'a^6', 'a^3']
6.10-2.0.2.5.5.10.5|['a^5', 'a^6', 'a^2', 'a^7']
6.10-2.0.2.5.5.10.6|['a^5', 'a^4', 'a^4', 'a^7']
6.10-2.0.2.5.5.10.7|['a^5', 'a^4', 'a^2', 'a^9']
6.10-2.0.2.5.5.10.8|['a^5', 'a^2', 'a^2', 'a']
6.10-1.0.2.2.2.2.2.2.1|['a', 'a', 'a', 'a', 'b^3a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.2|['a', 'a', 'a', 'a', 'ba', 'ba']
6.10-1.0.2.2.2.2.2.2.3|['a', 'a', 'a', 'b^3a', 'a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.4|['a', 'a', 'a', 'b^3a', 'b^3a', 'a']
6.10-1.0.2.2.2.2.2.2.5|['a', 'a', 'a', 'b^3a', 'ba', 'b^3a']
6.10-1.0.2.2.2.2.2.2.6|['a', 'a', 'a', 'b^3a', 'b^4a', 'ba']
6.10-1.0.2.2.2.2.2.2.7|['a', 'a', 'a', 'b^3a', 'b^2a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.8|['a', 'a', 'a', 'ba', 'a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.9|['a', 'a', 'a', 'ba', 'b^3a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.10|['a', 'a', 'a', 'ba', 'ba', 'a']
6.10-1.0.2.2.2.2.2.2.11|['a', 'a', 'a', 'ba', 'b^4a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.12|['a', 'a', 'a', 'ba', 'b^2a', 'ba']
6.10-1.0.2.2.2.2.2.2.13|['a', 'a', 'b^3a', 'a', 'a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.14|['a', 'a', 'b^3a', 'a', 'b^3a', 'ba']
6.10-1.0.2.2.2.2.2.2.15|['a', 'a', 'b^3a', 'a', 'ba', 'b^4a']
6.10-1.0.2.2.2.2.2.2.16|['a', 'a', 'b^3a', 'a', 'b^4a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.17|['a', 'a', 'b^3a', 'a', 'b^2a', 'a']
6.10-1.0.2.2.2.2.2.2.18|['a', 'a', 'b^3a', 'b^3a', 'a', 'a']
6.10-1.0.2.2.2.2.2.2.19|['a', 'a', 'b^3a', 'b^3a', 'b^3a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.20|['a', 'a', 'b^3a', 'b^3a', 'ba', 'ba']
6.10-1.0.2.2.2.2.2.2.21|['a', 'a', 'b^3a', 'b^3a', 'b^4a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.22|['a', 'a', 'b^3a', 'b^3a', 'b^2a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.23|['a', 'a', 'b^3a', 'ba', 'a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.24|['a', 'a', 'b^3a', 'ba', 'b^3a', 'a']
6.10-1.0.2.2.2.2.2.2.25|['a', 'a', 'b^3a', 'ba', 'ba', 'b^3a']
6.10-1.0.2.2.2.2.2.2.26|['a', 'a', 'b^3a', 'ba', 'b^4a', 'ba']
6.10-1.0.2.2.2.2.2.2.27|['a', 'a', 'b^3a', 'ba', 'b^2a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.28|['a', 'a', 'b^3a', 'b^4a', 'a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.29|['a', 'a', 'b^3a', 'b^4a', 'b^3a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.30|['a', 'a', 'b^3a', 'b^4a', 'ba', 'a']
6.10-1.0.2.2.2.2.2.2.31|['a', 'a', 'b^3a', 'b^4a', 'b^4a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.32|['a', 'a', 'b^3a', 'b^4a', 'b^2a', 'ba']
6.10-1.0.2.2.2.2.2.2.33|['a', 'a', 'b^3a', 'b^2a', 'a', 'ba']
6.10-1.0.2.2.2.2.2.2.34|['a', 'a', 'b^3a', 'b^2a', 'b^3a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.35|['a', 'a', 'b^3a', 'b^2a', 'ba', 'b^2a']
6.10-1.0.2.2.2.2.2.2.36|['a', 'a', 'b^3a', 'b^2a', 'b^4a', 'a']
6.10-1.0.2.2.2.2.2.2.37|['a', 'a', 'b^3a', 'b^2a', 'b^2a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.38|['a', 'a', 'ba', 'a', 'a', 'ba']
6.10-1.0.2.2.2.2.2.2.39|['a', 'a', 'ba', 'a', 'b^3a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.40|['a', 'a', 'ba', 'a', 'ba', 'b^2a']
6.10-1.0.2.2.2.2.2.2.41|['a', 'a', 'ba', 'a', 'b^4a', 'a']
6.10-1.0.2.2.2.2.2.2.42|['a', 'a', 'ba', 'a', 'b^2a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.43|['a', 'a', 'ba', 'b^3a', 'a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.44|['a', 'a', 'ba', 'b^3a', 'b^3a', 'ba']
6.10-1.0.2.2.2.2.2.2.45|['a', 'a', 'ba', 'b^3a', 'ba', 'b^4a']
6.10-1.0.2.2.2.2.2.2.46|['a', 'a', 'ba', 'b^3a', 'b^4a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.47|['a', 'a', 'ba', 'b^3a', 'b^2a', 'a']
6.10-1.0.2.2.2.2.2.2.48|['a', 'a', 'ba', 'ba', 'a', 'a']
6.10-1.0.2.2.2.2.2.2.49|['a', 'a', 'ba', 'ba', 'b^3a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.50|['a', 'a', 'ba', 'ba', 'ba', 'ba']
6.10-1.0.2.2.2.2.2.2.51|['a', 'a', 'ba', 'ba', 'b^4a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.52|['a', 'a', 'ba', 'ba', 'b^2a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.53|['a', 'a', 'ba', 'b^4a', 'a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.54|['a', 'a', 'ba', 'b^4a', 'b^3a', 'a']
6.10-1.0.2.2.2.2.2.2.55|['a', 'a', 'ba', 'b^4a', 'ba', 'b^3a']
6.10-1.0.2.2.2.2.2.2.56|['a', 'a', 'ba', 'b^4a', 'b^4a', 'ba']
6.10-1.0.2.2.2.2.2.2.57|['a', 'a', 'ba', 'b^4a', 'b^2a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.58|['a', 'a', 'ba', 'b^2a', 'a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.59|['a', 'a', 'ba', 'b^2a', 'b^3a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.60|['a', 'a', 'ba', 'b^2a', 'ba', 'a']
6.10-1.0.2.2.2.2.2.2.61|['a', 'a', 'ba', 'b^2a', 'b^4a', 'b^3a']
6.10-1.0.2.2.2.2.2.2.62|['a', 'a', 'ba', 'b^2a', 'b^2a', 'ba']
6.10-1.0.2.2.2.2.2.2.63|['a', 'b^3a', 'a', 'a', 'a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.64|['a', 'b^3a', 'a', 'a', 'b^3a', 'a']
6.10-1.0.2.2.2.2.2.2.65|['a', 'b^3a', 'a', 'a', 'ba', 'b^3a']
6.10-1.0.2.2.2.2.2.2.66|['a', 'b^3a', 'a', 'a', 'b^4a', 'ba']
6.10-1.0.2.2.2.2.2.2.67|['a', 'b^3a', 'a', 'a', 'b^2a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.68|['a', 'b^3a', 'a', 'b^3a', 'a', 'b^4a']
6.10-1.0.2.2.2.2.2.2.69|['a', 'b^3a', 'a', 'b^3a', 'b^3a', 'b^2a']
6.10-1.0.2.2.2.2.2.2.70|['a', 'b^3a', 'a', 'b^3a', 'ba', 'a']
