passport_label|connected_gen_vectors
text|jsonb

2.2-1.0.2.2.2.2.2.2.1|['a', 'a', 'a', 'a', 'a', 'a']
2.3-1.0.3.3.3.3.1|['a', 'a', 'a^2', 'a^2']
2.4-1.0.2.2.4.4.1|['a^-2', 'a^-2', 'a', 'a^-1']
2.4-2.0.2.2.2.2.2.1|['b', 'b', 'b', 'a', 'ba']
2.4-2.0.2.2.2.2.2.2|['b', 'a', 'a', 'a', 'ba']
2.4-2.0.2.2.2.2.2.3|['b', 'a', 'ba', 'ba', 'ba']
2.5-1.0.5.5.5.1|['a', 'a', 'a^3']
2.5-1.0.5.5.5.2|['a', 'a^2', 'a^2']
2.5-1.0.5.5.5.3|['a^2', 'a^4', 'a^4']
2.5-1.0.5.5.5.4|['a^3', 'a^3', 'a^4']
2.6-2.0.3.6.6.1|['a^4', 'a', 'a']
2.6-2.0.3.6.6.2|['a^2', 'a^5', 'a^5']
2.6-1.0.2.2.3.3.1|['a', 'a', 'b^2', 'b']
2.6-1.0.2.2.3.3.2|['a', 'ba', 'b', 'b']
2.6-2.0.2.2.3.3.1|['a^3', 'a^3', 'a^4', 'a^2']
2.8-4.0.4.4.4.1|['b', 'a', 'ba']
2.8-1.0.2.8.8.1|['a^-4', 'a', 'a^3']
2.8-1.0.2.8.8.2|['a^-4', 'a^-3', 'a^-1']
2.8-3.0.2.2.2.4.1|['b^-2', 'a', 'b^-1a', 'b^-1']
2.10-2.0.2.5.10.1|['a^5', 'a^8', 'a^7']
2.10-2.0.2.5.10.2|['a^5', 'a^6', 'a^9']
2.10-2.0.2.5.10.3|['a^5', 'a^4', 'a']
2.10-2.0.2.5.10.4|['a^5', 'a^2', 'a^3']
2.12-1.0.3.4.4.1|['b^2', 'a', 'ba^-1']
2.12-5.0.2.6.6.1|['b^3', 'b^4a', 'b^5a']
2.12-5.0.2.6.6.2|['b^3', 'b^2a', 'ba']
2.12-5.0.2.6.6.3|['a', 'b', 'b^5a']
2.12-5.0.2.6.6.4|['a', 'b^5', 'ba']
2.12-5.0.2.6.6.5|['b^3a', 'b', 'b^2a']
2.12-5.0.2.6.6.6|['b^3a', 'b^5', 'b^4a']
2.12-4.0.2.2.2.3.1|['b^3', 'a', 'b^5a', 'b^4']
2.16-8.0.2.4.8.1|['a', 'b^-1a', 'b']
2.16-8.0.2.4.8.2|['a', 'b^3a', 'b^-3']
2.24-3.0.3.3.4.1|['a', 'b^-2cba^2', 'cb']
2.24-8.0.2.4.6.1|['a', 'c^5a', 'c']
2.24-8.0.2.4.6.2|['a', 'ca', 'c^5']
2.48-29.0.2.3.8.1|['a', 'cb^2', 'dcb^2a']
2.48-29.0.2.3.8.2|['a', 'dcb^2', 'cb^2a']
2.2-1.1.2.2.1|['a', 'Id(G)', 'a', 'a']
