passport_label|connected_gen_vectors
4.6-1.0.2.2.2.2.2.2.20|['a', 'ba', 'a', 'b^2a', 'a', 'a']
4.6-1.0.2.2.2.2.2.2.21|['a', 'ba', 'a', 'b^2a', 'ba', 'ba']
4.6-1.0.2.2.2.2.2.2.22|['a', 'ba', 'a', 'b^2a', 'b^2a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.23|['a', 'ba', 'ba', 'a', 'a', 'a']
4.6-1.0.2.2.2.2.2.2.24|['a', 'ba', 'ba', 'a', 'ba', 'ba']
4.6-1.0.2.2.2.2.2.2.25|['a', 'ba', 'ba', 'a', 'b^2a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.26|['a', 'ba', 'ba', 'ba', 'a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.27|['a', 'ba', 'ba', 'ba', 'ba', 'a']
4.6-1.0.2.2.2.2.2.2.28|['a', 'ba', 'ba', 'ba', 'b^2a', 'ba']
4.6-1.0.2.2.2.2.2.2.29|['a', 'ba', 'ba', 'b^2a', 'a', 'ba']
4.6-1.0.2.2.2.2.2.2.30|['a', 'ba', 'ba', 'b^2a', 'ba', 'b^2a']
4.6-1.0.2.2.2.2.2.2.31|['a', 'ba', 'ba', 'b^2a', 'b^2a', 'a']
4.6-1.0.2.2.2.2.2.2.32|['a', 'ba', 'b^2a', 'a', 'a', 'ba']
4.6-1.0.2.2.2.2.2.2.33|['a', 'ba', 'b^2a', 'a', 'ba', 'b^2a']
4.6-1.0.2.2.2.2.2.2.34|['a', 'ba', 'b^2a', 'a', 'b^2a', 'a']
4.6-1.0.2.2.2.2.2.2.35|['a', 'ba', 'b^2a', 'ba', 'a', 'a']
4.6-1.0.2.2.2.2.2.2.36|['a', 'ba', 'b^2a', 'ba', 'ba', 'ba']
4.6-1.0.2.2.2.2.2.2.37|['a', 'ba', 'b^2a', 'ba', 'b^2a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.38|['a', 'ba', 'b^2a', 'b^2a', 'a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.39|['a', 'ba', 'b^2a', 'b^2a', 'ba', 'a']
4.6-1.0.2.2.2.2.2.2.40|['a', 'ba', 'b^2a', 'b^2a', 'b^2a', 'ba']
4.8-4.0.2.4.4.4.1|['a^-2', 'b', 'a', 'a^-2ba']
4.8-1.0.2.2.8.8.1|['a^-4', 'a^-4', 'a', 'a^-1']
4.8-1.0.2.2.8.8.2|['a^-4', 'a^-4', 'a^3', 'a^-3']
4.8-3.0.2.2.2.2.4.1|['b^-2', 'b^-2', 'a', 'b^-1a', 'b']
4.8-3.0.2.2.2.2.4.2|['a', 'a', 'a', 'b^-1a', 'b']
4.8-3.0.2.2.2.2.4.3|['a', 'a', 'b^-2a', 'b^-1a', 'b^-1']
4.8-3.0.2.2.2.2.4.4|['a', 'b^-2a', 'a', 'b^-1a', 'b^-1']
4.8-3.0.2.2.2.2.4.5|['a', 'b^-2a', 'b^-2a', 'b^-1a', 'b']
4.8-3.0.2.2.2.2.4.6|['a', 'b^-1a', 'b^-1a', 'b^-1a', 'b']
4.8-3.0.2.2.2.2.4.7|['a', 'b^-1a', 'b^-1a', 'ba', 'b^-1']
4.8-3.0.2.2.2.2.4.8|['a', 'b^-1a', 'ba', 'b^-1a', 'b^-1']
4.8-3.0.2.2.2.2.4.9|['a', 'b^-1a', 'ba', 'ba', 'b']
4.9-1.0.9.9.9.1|['a', 'a', 'a^7']
4.9-1.0.9.9.9.2|['a', 'a^4', 'a^4']
4.9-1.0.9.9.9.3|['a^2', 'a^2', 'a^5']
4.9-1.0.9.9.9.4|['a^2', 'a^8', 'a^8']
4.9-1.0.9.9.9.5|['a^4', 'a^7', 'a^7']
4.9-1.0.9.9.9.6|['a^5', 'a^5', 'a^8']
4.9-2.0.3.3.3.3.1|['b', 'b', 'a', 'ba^2']
4.9-2.0.3.3.3.3.2|['b', 'b', 'a^2', 'ba']
4.9-2.0.3.3.3.3.3|['b', 'b', 'b^2a^2', 'b^2a']
4.9-2.0.3.3.3.3.4|['b', 'b^2', 'a', 'a^2']
4.9-2.0.3.3.3.3.5|['b', 'b^2', 'ba', 'b^2a^2']
4.9-2.0.3.3.3.3.6|['b', 'b^2', 'b^2a', 'ba^2']
4.9-2.0.3.3.3.3.7|['b', 'a', 'a', 'b^2a']
4.9-2.0.3.3.3.3.8|['b', 'a', 'ba', 'ba']
4.9-2.0.3.3.3.3.9|['b', 'a^2', 'a^2', 'b^2a^2']
4.9-2.0.3.3.3.3.10|['b', 'a^2', 'ba^2', 'ba^2']
4.9-2.0.3.3.3.3.11|['b', 'ba', 'b^2a', 'b^2a']
4.9-2.0.3.3.3.3.12|['b', 'b^2a^2', 'b^2a^2', 'ba^2']
4.9-2.0.3.3.3.3.13|['b^2', 'b^2', 'a', 'b^2a^2']
4.9-2.0.3.3.3.3.14|['b^2', 'b^2', 'a^2', 'b^2a']
4.9-2.0.3.3.3.3.15|['b^2', 'b^2', 'ba', 'ba^2']
4.9-2.0.3.3.3.3.16|['b^2', 'a', 'a', 'ba']
4.9-2.0.3.3.3.3.17|['b^2', 'a', 'b^2a', 'b^2a']
4.9-2.0.3.3.3.3.18|['b^2', 'a^2', 'a^2', 'ba^2']
4.9-2.0.3.3.3.3.19|['b^2', 'a^2', 'b^2a^2', 'b^2a^2']
4.9-2.0.3.3.3.3.20|['b^2', 'ba', 'ba', 'b^2a']
4.9-2.0.3.3.3.3.21|['b^2', 'b^2a^2', 'ba^2', 'ba^2']
4.9-2.0.3.3.3.3.22|['a', 'a', 'b^2a^2', 'ba^2']
4.9-2.0.3.3.3.3.23|['a', 'a^2', 'ba', 'b^2a^2']
4.9-2.0.3.3.3.3.24|['a', 'a^2', 'b^2a', 'ba^2']
4.9-2.0.3.3.3.3.25|['a', 'ba', 'ba^2', 'ba^2']
4.9-2.0.3.3.3.3.26|['a', 'b^2a^2', 'b^2a^2', 'b^2a']
4.9-2.0.3.3.3.3.27|['a^2', 'a^2', 'ba', 'b^2a']
4.9-2.0.3.3.3.3.28|['a^2', 'ba', 'ba', 'ba^2']
4.9-2.0.3.3.3.3.29|['a^2', 'b^2a^2', 'b^2a', 'b^2a']
4.9-2.0.3.3.3.3.30|['ba', 'b^2a^2', 'b^2a', 'ba^2']
4.10-2.0.5.10.10.1|['a^8', 'a^3', 'a^9']
4.10-2.0.5.10.10.2|['a^8', 'a', 'a']
4.10-2.0.5.10.10.3|['a^6', 'a^3', 'a']
4.10-2.0.5.10.10.4|['a^6', 'a^7', 'a^7']
4.10-2.0.5.10.10.5|['a^4', 'a^3', 'a^3']
4.10-2.0.5.10.10.6|['a^4', 'a^9', 'a^7']
4.10-2.0.5.10.10.7|['a^2', 'a^9', 'a^9']
4.10-2.0.5.10.10.8|['a^2', 'a', 'a^7']
4.10-1.0.2.2.5.5.1|['a', 'a', 'b^4', 'b']
4.10-1.0.2.2.5.5.2|['a', 'b^3a', 'b', 'b']
4.10-1.0.2.2.5.5.3|['a', 'b^3a', 'b^4', 'b^3']
4.10-1.0.2.2.5.5.4|['a', 'ba', 'b', 'b^3']
4.10-1.0.2.2.5.5.5|['a', 'a', 'b^3', 'b^2']
4.10-1.0.2.2.5.5.6|['a', 'ba', 'b^2', 'b^2']
4.10-2.0.2.2.5.5.1|['a^5', 'a^5', 'a^8', 'a^2']
4.10-2.0.2.2.5.5.2|['a^5', 'a^5', 'a^6', 'a^4']
4.12-5.0.6.6.6.1|['b', 'b^4a', 'ba']
4.12-5.0.6.6.6.2|['b^5', 'b^2a', 'b^5a']
4.12-2.0.4.6.12.1|['a^9', 'a^2', 'a']
4.12-2.0.4.6.12.2|['a^9', 'a^10', 'a^5']
4.12-2.0.4.6.12.3|['a^3', 'a^2', 'a^7']
4.12-2.0.4.6.12.4|['a^3', 'a^10', 'a^11']
4.12-2.0.3.12.12.1|['a^8', 'a^5', 'a^11']
4.12-2.0.3.12.12.2|['a^4', 'a', 'a^7']
4.12-3.0.2.3.3.3.1|['c', 'a', 'a', 'ca']
4.12-3.0.2.3.3.3.2|['c', 'a', 'ba', 'a']
4.12-3.0.2.3.3.3.3|['c', 'a', 'cba', 'cba']
4.12-3.0.2.3.3.3.4|['c', 'a', 'ca', 'ba']
4.12-3.0.2.3.3.3.5|['c', 'a^2', 'a^2', 'ca^2']
4.12-3.0.2.3.3.3.6|['c', 'a^2', 'cba^2', 'a^2']
4.12-3.0.2.3.3.3.7|['c', 'a^2', 'ca^2', 'cba^2']
4.12-3.0.2.3.3.3.8|['c', 'a^2', 'ba^2', 'ba^2']
4.12-4.0.2.2.3.6.1|['a', 'b^3a', 'b^4', 'b^5']
4.12-4.0.2.2.3.6.2|['a', 'b^5a', 'b^2', 'b^5']
4.12-5.0.2.2.3.6.1|['b^3', 'a', 'b^4', 'b^5a']
4.12-5.0.2.2.3.6.2|['b^3', 'a', 'b^2', 'ba']
4.12-5.0.2.2.3.6.3|['b^3', 'b^3a', 'b^4', 'b^2a']
4.12-5.0.2.2.3.6.4|['b^3', 'b^3a', 'b^2', 'b^4a']
4.12-5.0.2.2.3.6.5|['a', 'b^3a', 'b^4', 'b^5']
4.12-5.0.2.2.3.6.6|['a', 'b^3a', 'b^2', 'b']
4.12-4.0.2.2.2.2.2.1|['b^3', 'a', 'a', 'b^2a', 'b^5a']
4.12-4.0.2.2.2.2.2.2|['b^3', 'a', 'b^2a', 'a', 'ba']
4.12-4.0.2.2.2.2.2.3|['b^3', 'a', 'b^2a', 'b^2a', 'b^3a']
4.12-4.0.2.2.2.2.2.4|['b^3', 'a', 'b^2a', 'b^4a', 'b^5a']
4.12-4.0.2.2.2.2.2.5|['b^3', 'a', 'b^3a', 'b^5a', 'b^5a']
4.12-4.0.2.2.2.2.2.6|['b^3', 'a', 'b^5a', 'b^3a', 'ba']
4.12-4.0.2.2.2.2.2.7|['b^3', 'a', 'b^5a', 'b^5a', 'b^3a']
4.12-4.0.2.2.2.2.2.8|['b^3', 'a', 'b^5a', 'ba', 'b^5a']
4.15-1.0.3.5.15.1|['a^10', 'a^12', 'a^8']
4.15-1.0.3.5.15.2|['a^10', 'a^9', 'a^11']
4.15-1.0.3.5.15.3|['a^10', 'a^6', 'a^14']
4.15-1.0.3.5.15.4|['a^10', 'a^3', 'a^2']
4.15-1.0.3.5.15.5|['a^5', 'a^12', 'a^13']
4.15-1.0.3.5.15.6|['a^5', 'a^9', 'a']
4.15-1.0.3.5.15.7|['a^5', 'a^6', 'a^4']
4.15-1.0.3.5.15.8|['a^5', 'a^3', 'a^7']
4.16-9.0.4.4.8.1|['a', 'b^3a', 'b']
4.16-9.0.4.4.8.2|['a', 'a^-2b^3a', 'a^-2b']
4.16-1.0.2.16.16.1|['a^-8', 'a', 'a^7']
4.16-1.0.2.16.16.2|['a^-8', 'a^3', 'a^5']
4.16-1.0.2.16.16.3|['a^-8', 'a^-7', 'a^-1']
4.16-1.0.2.16.16.4|['a^-8', 'a^-5', 'a^-3']
4.16-7.0.2.2.2.8.1|['b^-4', 'a', 'b^3a', 'b']
4.16-7.0.2.2.2.8.2|['b^-4', 'a', 'b^-1a', 'b^-3']
4.18-3.0.3.6.6.1|['b^2', 'a', 'ba^5']
4.18-3.0.3.6.6.2|['b^2a^4', 'a', 'ba']
4.18-3.0.3.6.6.3|['ba^2', 'a^5', 'b^2a^5']
4.18-5.0.3.6.6.1|['b^2', 'b^3a', 'ba^2']
4.18-5.0.3.6.6.2|['b^2', 'b^3a^2', 'ba']
4.18-5.0.3.6.6.3|['b^2', 'b^5a', 'b^5a^2']
4.18-5.0.3.6.6.4|['b^4', 'b^3a', 'b^5a^2']
4.18-5.0.3.6.6.5|['b^4', 'b^3a^2', 'b^5a']
4.18-5.0.3.6.6.6|['b^4', 'ba^2', 'ba']
4.18-5.0.3.6.6.7|['a', 'b^5', 'ba^2']
4.18-5.0.3.6.6.8|['a', 'b', 'b^5a^2']
4.18-5.0.3.6.6.9|['a', 'b^5a', 'ba']
4.18-5.0.3.6.6.10|['a^2', 'b^5', 'ba']
4.18-5.0.3.6.6.11|['a^2', 'b', 'b^5a']
4.18-5.0.3.6.6.12|['a^2', 'ba^2', 'b^5a^2']
4.18-5.0.3.6.6.13|['b^2a', 'b^5', 'b^5a^2']
4.18-5.0.3.6.6.14|['b^2a', 'b', 'b^3a^2']
4.18-5.0.3.6.6.15|['b^2a', 'b^3a', 'ba']
4.18-5.0.3.6.6.16|['b^4a^2', 'b^5', 'b^3a']
4.18-5.0.3.6.6.17|['b^4a^2', 'b', 'ba']
4.18-5.0.3.6.6.18|['b^4a^2', 'b^3a^2', 'b^5a^2']
4.18-5.0.3.6.6.19|['b^4a', 'b^5', 'b^3a^2']
4.18-5.0.3.6.6.20|['b^4a', 'b', 'ba^2']
4.18-5.0.3.6.6.21|['b^4a', 'b^3a', 'b^5a']
4.18-5.0.3.6.6.22|['b^2a^2', 'b^5', 'b^5a']
4.18-5.0.3.6.6.23|['b^2a^2', 'b', 'b^3a']
4.18-5.0.3.6.6.24|['b^2a^2', 'b^3a^2', 'ba^2']
4.18-2.0.2.9.18.1|['a^9', 'a^4', 'a^5']
4.18-2.0.2.9.18.2|['a^9', 'a^8', 'a']
4.18-2.0.2.9.18.3|['a^9', 'a^16', 'a^11']
4.18-2.0.2.9.18.4|['a^9', 'a^2', 'a^7']
4.18-2.0.2.9.18.5|['a^9', 'a^10', 'a^17']
4.18-2.0.2.9.18.6|['a^9', 'a^14', 'a^13']
4.18-3.0.2.2.3.3.1|['a^3', 'ba^3', 'a^4', 'b^2a^2']
4.18-3.0.2.2.3.3.2|['a^3', 'ba^3', 'a^2', 'b^2a^4']
4.18-3.0.2.2.3.3.3|['a^3', 'a^3', 'b^2a^4', 'ba^2']
4.18-3.0.2.2.3.3.4|['a^3', 'ba^3', 'ba^4', 'ba^2']
4.18-4.0.2.2.3.3.1|['a', 'c^2b^2a', 'c', 'b']
4.18-4.0.2.2.3.3.2|['a', 'cb^2a', 'c^2', 'b']
4.18-4.0.2.2.3.3.3|['a', 'b^2a', 'c^2', 'cb']
4.18-4.0.2.2.3.3.4|['a', 'cb^2a', 'c', 'cb']
4.18-4.0.2.2.3.3.5|['a', 'b^2a', 'c', 'c^2b']
4.18-4.0.2.2.3.3.6|['a', 'c^2b^2a', 'c^2', 'c^2b']
4.18-4.0.2.2.3.3.7|['a', 'c^2a', 'b^2', 'cb']
4.18-4.0.2.2.3.3.8|['a', 'cb^2a', 'b^2', 'c^2b^2']
4.18-4.0.2.2.3.3.9|['a', 'c^2a', 'b', 'cb^2']
4.18-4.0.2.2.3.3.10|['a', 'c^2b^2a', 'b^2', 'cb^2']
4.18-4.0.2.2.3.3.11|['a', 'c^2a', 'c^2b^2', 'c^2b']
4.18-4.0.2.2.3.3.12|['a', 'b^2a', 'c^2b^2', 'cb^2']
4.20-1.0.4.4.5.1|['a', 'ba^-1', 'b^4']
4.20-1.0.4.4.5.2|['a', 'b^3a^-1', 'b^2']
4.20-3.0.4.4.5.1|['a^-1', 'b^2a', 'b^3']
4.20-5.0.2.10.10.1|['b^5', 'b^8a', 'b^7a']
4.20-5.0.2.10.10.2|['b^5', 'b^4a', 'ba']
4.20-5.0.2.10.10.3|['b^5', 'b^6a', 'b^9a']
4.20-5.0.2.10.10.4|['b^5', 'b^2a', 'b^3a']
4.20-5.0.2.10.10.5|['a', 'b^3', 'b^7a']
4.20-5.0.2.10.10.6|['a', 'b^9', 'ba']
4.20-5.0.2.10.10.7|['a', 'b', 'b^9a']
4.20-5.0.2.10.10.8|['a', 'b^7', 'b^3a']
4.20-5.0.2.10.10.9|['b^5a', 'b^3', 'b^2a']
4.20-5.0.2.10.10.10|['b^5a', 'b^9', 'b^6a']
4.20-5.0.2.10.10.11|['b^5a', 'b', 'b^4a']
4.20-5.0.2.10.10.12|['b^5a', 'b^7', 'b^8a']
4.20-4.0.2.2.2.5.1|['b^5', 'a', 'b^7a', 'b^8']
4.20-4.0.2.2.2.5.2|['b^5', 'a', 'ba', 'b^4']
4.24-3.0.3.4.6.1|['a', 'c', 'b^-1a^2']
4.24-3.0.3.4.6.2|['a^2', 'b^-2c', 'b^-2cba']
4.24-10.0.2.6.12.1|['a', 'b^5a', 'b^7']
4.24-10.0.2.6.12.2|['a', 'ba', 'b^11']
4.24-10.0.2.6.12.3|['b^9a', 'b^8a', 'b']
4.24-10.0.2.6.12.4|['b^9a', 'b^4a', 'b^5']
4.24-12.0.2.2.2.4.1|['a', 'dca', 'ba', 'dcba']
4.24-12.0.2.2.2.4.2|['a', 'ba', 'dca', 'cb^2a']
4.24-12.0.2.2.2.4.3|['a', 'ba', 'cba', 'da']
4.24-12.0.2.2.2.4.4|['a', 'ba', 'db^2a', 'dcba']
4.32-19.0.2.4.16.1|['a', 'b^-1a', 'b']
4.32-19.0.2.4.16.2|['a', 'b^-5a', 'b^5']
4.32-19.0.2.4.16.3|['a', 'b^7a', 'b^-7']
4.32-19.0.2.4.16.4|['a', 'b^3a', 'b^-3']
4.36-9.0.3.4.4.1|['c^2', 'a', 'ca^-1']
4.36-9.0.3.4.4.2|['cb^2', 'a', 'c^2ba^-1']
4.36-11.0.3.3.6.1|['a', 'c^5ba^2', 'cb']
4.36-11.0.3.3.6.2|['a', 'cba^2', 'c^5b']
4.36-11.0.3.3.6.3|['a^2', 'c^4ba', 'c^2b']
4.36-11.0.3.3.6.4|['a^2', 'c^2ba', 'c^4b']
4.36-11.0.3.3.6.5|['c^4a', 'cba^2', 'cb']
4.36-11.0.3.3.6.6|['c^2a^2', 'c^2ba', 'c^2b']
4.36-10.0.2.6.6.1|['b^3a', 'c^2b^5', 'cb^2a']
4.36-12.0.2.6.6.1|['a^3', 'ba^4', 'ba^5']
4.36-12.0.2.6.6.2|['a^3', 'b^5a^2', 'b^5a']
4.36-12.0.2.6.6.3|['b^3a^3', 'ba^4', 'b^4a^5']
4.36-12.0.2.6.6.4|['b^3a^3', 'b^5a^2', 'b^2a']
4.36-10.0.2.2.2.3.1|['b^3', 'a', 'cb^5a', 'c^2b^4']
4.40-8.0.2.4.10.1|['a', 'c^7a', 'c^3']
4.40-8.0.2.4.10.2|['a', 'ca', 'c^9']
4.40-8.0.2.4.10.3|['a', 'c^9a', 'c']
4.40-8.0.2.4.10.4|['a', 'c^3a', 'c^7']
4.60-5.0.2.5.5.1|None
4.72-40.0.2.4.6.1|['a', 'dcb^-1', 'db^-1a']
4.72-40.0.2.4.6.2|['ba', 'db^-1', 'd^2a']
4.72-42.0.2.3.12.1|['a', 'd^4cb^2', 'd^5cb^2a']
4.72-42.0.2.3.12.2|['a', 'd^5cb', 'dba']
4.120-34.0.2.4.5.1|None
4.2-1.1.2.2.2.2.2.2.1|['a', 'Id(G)', 'a', 'a', 'a', 'a', 'a', 'a']
4.3-1.1.3.3.3.1|['a', 'Id(G)', 'a', 'a', 'a']
4.3-1.1.3.3.3.2|['a', 'Id(G)', 'a^2', 'a^2', 'a^2']
4.4-1.1.4.4.1|['a^-2', 'a', 'a', 'a^-1']
4.4-2.1.2.2.2.1|['b', 'a', 'b', 'a', 'ba']
4.6-1.1.2.2.1|['b^2', 'Id(G)', 'a', 'a']
4.6-1.1.2.2.2|['b', 'Id(G)', 'a', 'a']
4.6-1.1.2.2.3|['ba', 'Id(G)', 'a', 'a']
4.6-1.1.2.2.4|['b^2a', 'Id(G)', 'a', 'a']
4.6-1.1.2.2.5|['Id(G)', 'b^2', 'a', 'a']
4.6-1.1.2.2.6|['b^2', 'b^2', 'a', 'a']
4.6-1.1.2.2.7|['b', 'b^2', 'a', 'a']
4.6-1.1.2.2.8|['Id(G)', 'b', 'a', 'a']
4.6-1.1.2.2.9|['b^2', 'b', 'a', 'a']
4.6-1.1.2.2.10|['b', 'b', 'a', 'a']
4.6-1.1.2.2.11|['Id(G)', 'ba', 'a', 'a']
4.6-1.1.2.2.12|['ba', 'ba', 'a', 'a']
4.6-1.1.2.2.13|['Id(G)', 'b^2a', 'a', 'a']
4.6-1.1.2.2.14|['b^2a', 'b^2a', 'a', 'a']
4.6-1.1.2.2.15|['b^2', 'a', 'a', 'ba']
4.6-1.1.2.2.16|['b^2a', 'a', 'a', 'ba']
4.6-1.1.2.2.17|['a', 'b', 'a', 'ba']
4.6-1.1.2.2.18|['ba', 'b', 'a', 'ba']
4.6-1.1.2.2.19|['b^2a', 'b', 'a', 'ba']
4.6-1.1.2.2.20|['b^2', 'ba', 'a', 'ba']
4.6-1.1.2.2.21|['a', 'ba', 'a', 'ba']
4.6-1.1.2.2.22|['b^2', 'b^2a', 'a', 'ba']
4.6-1.1.2.2.23|['ba', 'b^2a', 'a', 'ba']
4.6-2.1.2.2.1|['a^3', 'a^4', 'a^3', 'a^3']
4.12-3.1.2.1|['a^2', 'b', 'c']
4.12-3.1.2.2|['ba^2', 'b', 'c']
4.12-3.1.2.3|['cba^2', 'b', 'c']
4.12-3.1.2.4|['ca^2', 'b', 'c']
4.12-3.1.2.5|['cb', 'a', 'c']
4.12-3.1.2.6|['cba', 'a', 'c']
4.12-3.1.2.7|['cba^2', 'a', 'c']
4.12-3.1.2.8|['b', 'a^2', 'c']
4.12-3.1.2.9|['ba^2', 'a^2', 'c']
4.12-3.1.2.10|['ba', 'a^2', 'c']
4.12-3.1.2.11|['a', 'cb', 'c']
4.12-3.1.2.12|['cba', 'cb', 'c']
4.12-3.1.2.13|['ca', 'cb', 'c']
4.12-3.1.2.14|['ba', 'cb', 'c']
4.12-3.1.2.15|['a', 'cba', 'c']
4.12-3.1.2.16|['cb', 'cba', 'c']
4.12-3.1.2.17|['ba^2', 'cba', 'c']
4.12-3.1.2.18|['b', 'ba^2', 'c']
4.12-3.1.2.19|['a^2', 'ba^2', 'c']
4.12-3.1.2.20|['cba', 'ba^2', 'c']
4.12-3.1.2.21|['cb', 'ca', 'c']
4.12-3.1.2.22|['ba', 'ca', 'c']
4.12-3.1.2.23|['ca^2', 'ca', 'c']
4.12-3.1.2.24|['b', 'cba^2', 'c']
4.12-3.1.2.25|['a', 'cba^2', 'c']
4.12-3.1.2.26|['ca^2', 'cba^2', 'c']
4.12-3.1.2.27|['a^2', 'ba', 'c']
4.12-3.1.2.28|['cb', 'ba', 'c']
4.12-3.1.2.29|['ca', 'ba', 'c']
4.12-3.1.2.30|['b', 'ca^2', 'c']
4.12-3.1.2.31|['ca', 'ca^2', 'c']
4.12-3.1.2.32|['cba^2', 'ca^2', 'c']
4.2-1.2.2.2.1|['a', 'Id(G)', 'Id(G)', 'Id(G)', 'a', 'a']
4.3-1.2.1|['a', 'Id(G)', 'Id(G)', 'Id(G)']
