passport_label|connected_gen_vectors
text|jsonb

4.2-1.0.2.2.2.2.2.2.2.2.2.2.1|['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']
4.3-1.0.3.3.3.3.3.3.1|['a', 'a', 'a', 'a', 'a', 'a']
4.3-1.0.3.3.3.3.3.3.2|['a', 'a', 'a', 'a^2', 'a^2', 'a^2']
4.3-1.0.3.3.3.3.3.3.3|['a^2', 'a^2', 'a^2', 'a^2', 'a^2', 'a^2']
4.4-1.0.2.4.4.4.4.1|['a^-2', 'a', 'a', 'a', 'a^-1']
4.4-1.0.2.4.4.4.4.2|['a^-2', 'a', 'a^-1', 'a^-1', 'a^-1']
4.4-1.0.2.2.2.2.4.4.1|['a^-2', 'a^-2', 'a^-2', 'a^-2', 'a', 'a^-1']
4.4-2.0.2.2.2.2.2.2.2.1|['b', 'b', 'b', 'b', 'b', 'a', 'ba']
4.4-2.0.2.2.2.2.2.2.2.2|['b', 'b', 'b', 'a', 'a', 'a', 'ba']
4.4-2.0.2.2.2.2.2.2.2.3|['b', 'b', 'b', 'a', 'ba', 'ba', 'ba']
4.4-2.0.2.2.2.2.2.2.2.4|['b', 'a', 'a', 'a', 'a', 'a', 'ba']
4.4-2.0.2.2.2.2.2.2.2.5|['b', 'a', 'a', 'a', 'ba', 'ba', 'ba']
4.4-2.0.2.2.2.2.2.2.2.6|['b', 'a', 'ba', 'ba', 'ba', 'ba', 'ba']
4.5-1.0.5.5.5.5.1|['a', 'a', 'a', 'a^2']
4.5-1.0.5.5.5.5.2|['a', 'a', 'a^4', 'a^4']
4.5-1.0.5.5.5.5.3|['a', 'a^2', 'a^3', 'a^4']
4.5-1.0.5.5.5.5.4|['a', 'a^3', 'a^3', 'a^3']
4.5-1.0.5.5.5.5.5|['a^2', 'a^2', 'a^2', 'a^4']
4.5-1.0.5.5.5.5.6|['a^2', 'a^2', 'a^3', 'a^3']
4.5-1.0.5.5.5.5.7|['a^3', 'a^4', 'a^4', 'a^4']
4.6-2.0.3.3.6.6.1|['a^4', 'a^4', 'a^5', 'a^5']
4.6-2.0.3.3.6.6.2|['a^4', 'a^2', 'a', 'a^5']
4.6-2.0.3.3.6.6.3|['a^2', 'a^2', 'a', 'a']
4.6-2.0.2.6.6.6.1|['a^3', 'a', 'a', 'a']
4.6-2.0.2.6.6.6.2|['a^3', 'a^5', 'a^5', 'a^5']
4.6-1.0.2.2.3.3.3.1|['a', 'a', 'b^2', 'b^2', 'b^2']
4.6-1.0.2.2.3.3.3.2|['a', 'ba', 'b^2', 'b^2', 'b']
4.6-1.0.2.2.3.3.3.3|['a', 'ba', 'b^2', 'b', 'b^2']
4.6-1.0.2.2.3.3.3.4|['a', 'ba', 'b', 'b^2', 'b^2']
4.6-2.0.2.2.3.3.3.1|['a^3', 'a^3', 'a^4', 'a^4', 'a^4']
4.6-2.0.2.2.3.3.3.2|['a^3', 'a^3', 'a^2', 'a^2', 'a^2']
4.6-2.0.2.2.2.3.6.1|['a^3', 'a^3', 'a^3', 'a^4', 'a^5']
4.6-2.0.2.2.2.3.6.2|['a^3', 'a^3', 'a^3', 'a^2', 'a']
4.6-1.0.2.2.2.2.2.2.1|['a', 'a', 'a', 'a', 'ba', 'ba']
4.6-1.0.2.2.2.2.2.2.2|['a', 'a', 'a', 'ba', 'a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.3|['a', 'a', 'a', 'ba', 'ba', 'a']
4.6-1.0.2.2.2.2.2.2.4|['a', 'a', 'a', 'ba', 'b^2a', 'ba']
4.6-1.0.2.2.2.2.2.2.5|['a', 'a', 'ba', 'a', 'a', 'ba']
4.6-1.0.2.2.2.2.2.2.6|['a', 'a', 'ba', 'a', 'ba', 'b^2a']
4.6-1.0.2.2.2.2.2.2.7|['a', 'a', 'ba', 'a', 'b^2a', 'a']
4.6-1.0.2.2.2.2.2.2.8|['a', 'a', 'ba', 'ba', 'a', 'a']
4.6-1.0.2.2.2.2.2.2.9|['a', 'a', 'ba', 'ba', 'ba', 'ba']
4.6-1.0.2.2.2.2.2.2.10|['a', 'a', 'ba', 'ba', 'b^2a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.11|['a', 'a', 'ba', 'b^2a', 'a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.12|['a', 'a', 'ba', 'b^2a', 'ba', 'a']
4.6-1.0.2.2.2.2.2.2.13|['a', 'a', 'ba', 'b^2a', 'b^2a', 'ba']
4.6-1.0.2.2.2.2.2.2.14|['a', 'ba', 'a', 'a', 'a', 'b^2a']
4.6-1.0.2.2.2.2.2.2.15|['a', 'ba', 'a', 'a', 'ba', 'a']
4.6-1.0.2.2.2.2.2.2.16|['a', 'ba', 'a', 'a', 'b^2a', 'ba']
4.6-1.0.2.2.2.2.2.2.17|['a', 'ba', 'a', 'ba', 'a', 'ba']
4.6-1.0.2.2.2.2.2.2.18|['a', 'ba', 'a', 'ba', 'ba', 'b^2a']
4.6-1.0.2.2.2.2.2.2.19|['a', 'ba', 'a', 'ba', 'b^2a', 'a']
