passport_label|connected_gen_vectors
3.8-5.0.2.2.2.2.2.17|['b', 'b', 'cb', 'a', 'cba']
3.8-5.0.2.2.2.2.2.18|['b', 'b', 'cb', 'ca', 'ba']
3.8-5.0.2.2.2.2.2.19|['b', 'cb', 'cb', 'a', 'ba']
3.8-5.0.2.2.2.2.2.20|['b', 'cb', 'cb', 'ca', 'cba']
3.8-5.0.2.2.2.2.2.21|['b', 'a', 'a', 'ca', 'cba']
3.8-5.0.2.2.2.2.2.22|['b', 'a', 'ca', 'ca', 'ba']
3.8-5.0.2.2.2.2.2.23|['b', 'a', 'ba', 'cba', 'cba']
3.8-5.0.2.2.2.2.2.24|['b', 'ca', 'ba', 'ba', 'cba']
3.8-5.0.2.2.2.2.2.25|['cb', 'a', 'a', 'ca', 'ba']
3.8-5.0.2.2.2.2.2.26|['cb', 'a', 'ca', 'ca', 'cba']
3.8-5.0.2.2.2.2.2.27|['cb', 'a', 'ba', 'ba', 'cba']
3.8-5.0.2.2.2.2.2.28|['cb', 'ca', 'ba', 'cba', 'cba']
3.9-1.0.3.9.9.1|['a^3', 'a', 'a^5']
3.9-1.0.3.9.9.2|['a^3', 'a^2', 'a^4']
3.9-1.0.3.9.9.3|['a^3', 'a^7', 'a^8']
3.9-1.0.3.9.9.4|['a^6', 'a', 'a^2']
3.9-1.0.3.9.9.5|['a^6', 'a^4', 'a^8']
3.9-1.0.3.9.9.6|['a^6', 'a^5', 'a^7']
3.12-1.0.4.4.6.1|['a', 'ba', 'b^2a^-2']
3.12-1.0.4.4.6.2|['a^-1', 'ba^-1', 'b^2a^-2']
3.12-2.0.3.4.12.1|['a^8', 'a^9', 'a^7']
3.12-2.0.3.4.12.2|['a^8', 'a^3', 'a']
3.12-2.0.3.4.12.3|['a^4', 'a^9', 'a^11']
3.12-2.0.3.4.12.4|['a^4', 'a^3', 'a^5']
3.12-2.0.2.12.12.1|['a^6', 'a^5', 'a']
3.12-2.0.2.12.12.2|['a^6', 'a^11', 'a^7']
3.12-3.0.2.2.3.3.1|['c', 'c', 'a', 'a^2']
3.12-3.0.2.2.3.3.2|['c', 'cb', 'a', 'ba^2']
3.12-3.0.2.2.3.3.3|['c', 'b', 'a', 'cba^2']
3.12-4.0.2.2.2.6.1|['b^3', 'a', 'b^2a', 'b']
3.12-4.0.2.2.2.6.2|['b^3', 'b^3a', 'b^5a', 'b']
3.14-2.0.2.7.14.1|['a^7', 'a^12', 'a^9']
3.14-2.0.2.7.14.2|['a^7', 'a^10', 'a^11']
3.14-2.0.2.7.14.3|['a^7', 'a^8', 'a^13']
3.14-2.0.2.7.14.4|['a^7', 'a^6', 'a']
3.14-2.0.2.7.14.5|['a^7', 'a^4', 'a^3']
3.14-2.0.2.7.14.6|['a^7', 'a^2', 'a^5']
3.16-2.0.4.4.4.1|['b', 'a', 'b^-1a^-1']
3.16-2.0.4.4.4.2|['b', 'a^-1', 'b^-1a']
3.16-2.0.4.4.4.3|['b', 'b^-2a', 'ba^-1']
3.16-2.0.4.4.4.4|['b', 'b^-2a^-1', 'ba']
3.16-2.0.4.4.4.5|['b^-1', 'a', 'ba^-1']
3.16-2.0.4.4.4.6|['b^-1', 'a^-1', 'ba']
3.16-2.0.4.4.4.7|['b^-1', 'b^-2a', 'b^-1a^-1']
3.16-2.0.4.4.4.8|['b^-1', 'b^-2a^-1', 'b^-1a']
3.16-2.0.4.4.4.9|['ba^-2', 'a', 'b^-1a']
3.16-2.0.4.4.4.10|['ba^-2', 'a^-1', 'b^-1a^-1']
3.16-2.0.4.4.4.11|['ba^-2', 'b^-2a', 'ba']
3.16-2.0.4.4.4.12|['ba^-2', 'b^-2a^-1', 'ba^-1']
3.16-2.0.4.4.4.13|['b^-1a^-2', 'a', 'ba']
3.16-2.0.4.4.4.14|['b^-1a^-2', 'a^-1', 'ba^-1']
3.16-2.0.4.4.4.15|['b^-1a^-2', 'b^-2a', 'b^-1a']
3.16-2.0.4.4.4.16|['b^-1a^-2', 'b^-2a^-1', 'b^-1a^-1']
3.16-4.0.4.4.4.1|['b', 'a', 'b^-1a^-1']
3.16-4.0.4.4.4.2|['b', 'a^-1', 'b^-1a']
3.16-4.0.4.4.4.3|['ba^-2', 'a', 'b^-1a']
3.16-4.0.4.4.4.4|['ba^-2', 'a^-1', 'b^-1a^-1']
3.16-5.0.2.8.8.1|['a', 'b', 'b^-1a']
3.16-5.0.2.8.8.2|['a', 'b^3', 'b^-3a']
3.16-5.0.2.8.8.3|['a', 'b^-3', 'b^3a']
3.16-5.0.2.8.8.4|['a', 'b^-1', 'ba']
3.16-5.0.2.8.8.5|['b^-4a', 'b', 'b^3a']
3.16-5.0.2.8.8.6|['b^-4a', 'b^3', 'ba']
3.16-5.0.2.8.8.7|['b^-4a', 'b^-3', 'b^-1a']
3.16-5.0.2.8.8.8|['b^-4a', 'b^-1', 'b^-3a']
3.16-6.0.2.8.8.1|['a', 'b', 'b^3a']
3.16-6.0.2.8.8.2|['a', 'b^3', 'ba']
3.16-11.0.2.2.2.4.1|['a', 'ba', 'c^-1ba', 'ca']
3.16-11.0.2.2.2.4.2|['a', 'ba', 'c^-1b', 'c']
3.16-11.0.2.2.2.4.3|['a', 'b', 'c^-1ba', 'c']
3.16-11.0.2.2.2.4.4|['a', 'b', 'c^-1b', 'ca']
3.16-11.0.2.2.2.4.5|['c^-2a', 'ba', 'c^-1ba', 'c^-1a']
3.16-11.0.2.2.2.4.6|['c^-2a', 'ba', 'c^-1b', 'c^-1']
3.16-11.0.2.2.2.4.7|['c^-2a', 'b', 'c^-1ba', 'c^-1']
3.16-11.0.2.2.2.4.8|['c^-2a', 'b', 'c^-1b', 'c^-1a']
3.16-13.0.2.2.2.4.1|['b', 'a', 'c^-1ba', 'c']
3.16-13.0.2.2.2.4.2|['b', 'a', 'cba', 'c^-1']
3.21-1.0.3.3.7.1|['a', 'b^2a^2', 'b^5']
3.21-1.0.3.3.7.2|['a', 'b^3a^2', 'b^4']
3.24-12.0.3.4.4.1|['b^2', 'da', 'dcba']
3.24-3.0.3.3.6.1|['a', 'b^-1a', 'ca']
3.24-3.0.3.3.6.2|['a^2', 'b^-2cba^2', 'b^-2ca^2']
3.24-13.0.2.6.6.1|['b', 'a', 'ba^5']
3.24-5.0.2.4.12.1|['a', 'ba', 'b^11']
3.24-5.0.2.4.12.2|['a', 'b^7a', 'b^5']
3.24-5.0.2.4.12.3|['b^6a', 'ba', 'b^5']
3.24-5.0.2.4.12.4|['b^6a', 'b^7a', 'b^11']
3.24-12.0.2.2.2.3.1|['d', 'a', 'ba', 'db^2']
3.24-12.0.2.2.2.3.2|['d', 'a', 'b^2a', 'db']
3.24-12.0.2.2.2.3.3|['d', 'b^2a', 'a', 'db^2']
3.32-9.0.2.4.8.1|['a', 'c^3ba', 'c^-3b']
3.32-9.0.2.4.8.2|['a', 'c^-1ba', 'cb']
3.32-9.0.2.4.8.3|['a', 'c^-1a', 'c']
3.32-9.0.2.4.8.4|['a', 'c^3a', 'c^-3']
3.32-9.0.2.4.8.5|['ba', 'c^-1ba', 'c']
3.32-9.0.2.4.8.6|['ba', 'c^3ba', 'c^-3']
3.32-9.0.2.4.8.7|['ba', 'c^3a', 'c^-3b']
3.32-9.0.2.4.8.8|['ba', 'c^-1a', 'cb']
3.32-11.0.2.4.8.1|['a', 'c', 'cb^-1a']
3.32-11.0.2.4.8.2|['a', 'c^-1', 'c^-1ba']
3.32-11.0.2.4.8.3|['a', 'cb^-2', 'cba']
3.32-11.0.2.4.8.4|['a', 'c^-1b^-2', 'c^-1b^-1a']
3.48-3.0.3.3.4.1|['a', 'c^-2b^-1a^2', 'c^-2b']
3.48-3.0.3.3.4.2|['a', 'c^-2ba^2', 'c^-2b^-1']
3.48-3.0.3.3.4.3|['a', 'b^-1a^2', 'b']
3.48-3.0.3.3.4.4|['a', 'ba^2', 'b^-1']
3.48-48.0.2.4.6.1|['a', 'dcb^5a', 'db']
3.48-48.0.2.4.6.2|['b^3a', 'dcb^2a', 'db']
3.48-33.0.2.3.12.1|['b^-1a^3', 'b^-2cba^4', 'b^-2a^5']
3.48-33.0.2.3.12.2|['b^-1a^3', 'a^4', 'ba^5']
3.48-33.0.2.3.12.3|['b^-1a^3', 'b^-2a^2', 'ba']
3.48-33.0.2.3.12.4|['b^-1a^3', 'b^-1a^2', 'b^-2ca']
3.96-64.0.2.3.8.1|['a', 'cb^2', 'dcb^2a']
3.96-64.0.2.3.8.2|['a', 'dcb^2', 'cb^2a']
3.168-42.0.2.3.7.1|None
3.168-42.0.2.3.7.2|None
3.2-1.1.2.2.2.2.1|['a', 'Id(G)', 'a', 'a', 'a', 'a']
3.3-1.1.3.3.1|['a', 'Id(G)', 'a', 'a^2']
3.4-1.1.2.2.1|['a^-2', 'a', 'a^-2', 'a^-2']
3.4-2.1.2.2.1|['b', 'a', 'b', 'b']
3.4-2.1.2.2.2|['b', 'a', 'a', 'a']
3.4-2.1.2.2.3|['b', 'a', 'ba', 'ba']
3.6-1.1.3.1|['a', 'b^2', 'b^2']
3.6-1.1.3.2|['ba', 'b^2', 'b^2']
3.6-1.1.3.3|['b^2a', 'b^2', 'b^2']
3.6-1.1.3.4|['b', 'a', 'b^2']
3.6-1.1.3.5|['ba', 'a', 'b^2']
3.6-1.1.3.6|['b', 'ba', 'b^2']
3.6-1.1.3.7|['b^2a', 'ba', 'b^2']
3.6-1.1.3.8|['a', 'b^2a', 'b^2']
3.6-1.1.3.9|['b', 'b^2a', 'b^2']
3.8-3.1.2.1|['b^-1a', 'a', 'b^-2']
3.8-3.1.2.2|['ba', 'a', 'b^-2']
3.8-3.1.2.3|['b^-1', 'a', 'b^-2']
3.8-3.1.2.4|['b', 'a', 'b^-2']
3.8-3.1.2.5|['a', 'b^-1a', 'b^-2']
3.8-3.1.2.6|['b^-2a', 'b^-1a', 'b^-2']
3.8-3.1.2.7|['b^-1', 'b^-1a', 'b^-2']
3.8-3.1.2.8|['b', 'b^-1a', 'b^-2']
3.8-3.1.2.9|['b^-1a', 'b^-2a', 'b^-2']
3.8-3.1.2.10|['ba', 'b^-2a', 'b^-2']
3.8-3.1.2.11|['b^-1', 'b^-2a', 'b^-2']
3.8-3.1.2.12|['b', 'b^-2a', 'b^-2']
3.8-3.1.2.13|['a', 'ba', 'b^-2']
3.8-3.1.2.14|['b^-2a', 'ba', 'b^-2']
